State_Name,District_Name,Active,Confirmed,Deceased,Recovered
State Unassigned,Unassigned,0,0,0,0
Andaman and Nicobar Islands,Nicobars,0,0,0,0
Andaman and Nicobar Islands,North and Middle Andaman,0,1,0,1
Andaman and Nicobar Islands,South Andaman,19,51,0,32
Andaman and Nicobar Islands,Unknown,-11,4962,62,4911
Andhra Pradesh,Foreign Evacuees,0,434,0,434
Andhra Pradesh,Anantapur,24,67702,599,67079
Andhra Pradesh,Chittoor,96,87243,848,86299
Andhra Pradesh,East Godavari,73,124372,636,123663
Andhra Pradesh,Guntur,37,75631,671,74923
Andhra Pradesh,Krishna,101,48838,681,48056
Andhra Pradesh,Kurnool,10,60849,489,60350
Andhra Pradesh,Other State,0,2461,0,2461
Andhra Pradesh,Prakasam,51,62193,580,61562
Andhra Pradesh,S.P.S. Nellore,54,62408,507,61847
Andhra Pradesh,Srikakulam,8,46165,347,45810
Andhra Pradesh,Visakhapatnam,27,59941,564,59350
Andhra Pradesh,Vizianagaram,10,41151,238,40903
Andhra Pradesh,West Godavari,40,94298,542,93716
Andhra Pradesh,Y.S.R. Kadapa,76,55324,463,54785
Arunachal Pradesh,Anjaw,0,204,0,204
Arunachal Pradesh,Changlang,0,1282,4,1278
Arunachal Pradesh,East Kameng,0,304,0,304
Arunachal Pradesh,East Siang,0,1144,4,1140
Arunachal Pradesh,Kamle,0,30,0,30
Arunachal Pradesh,Kra Daadi,0,37,0,37
Arunachal Pradesh,Kurung Kumey,0,117,0,117
Arunachal Pradesh,Lepa Rada,0,286,0,286
Arunachal Pradesh,Lohit,0,573,0,573
Arunachal Pradesh,Longding,0,250,0,250
Arunachal Pradesh,Lower Dibang Valley,0,475,0,475
Arunachal Pradesh,Lower Siang,0,287,0,287
Arunachal Pradesh,Lower Subansiri,0,381,1,380
Arunachal Pradesh,Namsai,1,431,4,426
Arunachal Pradesh,Pakke Kessang,0,132,0,132
Arunachal Pradesh,Papum Pare,0,6779,29,6750
Arunachal Pradesh,Shi Yomi,0,104,0,104
Arunachal Pradesh,Siang,0,133,1,132
Arunachal Pradesh,Tawang,0,492,2,490
Arunachal Pradesh,Tirap,0,587,2,585
Arunachal Pradesh,Upper Dibang Valley,0,23,0,23
Arunachal Pradesh,Upper Siang,0,361,0,361
Arunachal Pradesh,Upper Subansiri,0,441,2,439
Arunachal Pradesh,West Kameng,1,950,4,945
Arunachal Pradesh,West Siang,1,1030,3,1026
Assam,Airport Quarantine,0,13,0,13
Assam,Baksa,233,687,7,447
Assam,Barpeta,84,1121,13,1024
Assam,Biswanath,87,474,8,379
Assam,Bongaigaon,462,1303,7,834
Assam,Cachar,4701,6242,43,1498
Assam,Charaideo,0,116,11,105
Assam,Chirang,53,280,8,219
Assam,Darrang,219,1967,18,1730
Assam,Dhemaji,317,765,8,440
Assam,Dhubri,496,1723,12,1215
Assam,Dibrugarh,7061,9572,102,2409
Assam,Dima Hasao,40,241,2,199
Assam,Goalpara,38,665,10,568
Assam,Golaghat,2107,3809,46,1656
Assam,Hailakandi,511,1634,7,1116
Assam,Hojai,472,1646,14,1160
Assam,Jorhat,6971,8777,54,1752
Assam,Kamrup,2484,4593,35,2074
Assam,Kamrup Metropolitan,35010,50532,152,15370
Assam,Karbi Anglong,69,632,11,552
Assam,Karimganj,225,1206,26,955
Assam,Kokrajhar,49,414,12,353
Assam,Lakhimpur,1847,3006,24,1135
Assam,Majuli,79,165,6,80
Assam,Morigaon,72,638,9,557
Assam,Nagaon,2000,4532,26,2506
Assam,Nalbari,103,948,17,828
Assam,Other State,0,1,0,1
Assam,Sivasagar,21,529,35,473
Assam,Sonitpur,814,2560,19,1727
Assam,South Salmara Mankachar,5,53,1,47
Assam,Tinsukia,1540,3381,43,1798
Assam,Udalguri,84,758,8,666
Assam,West Karbi Anglong,1,39,1,37
Assam,Unknown,-68039,102308,295,168705
Bihar,Araria,6,7258,22,7230
Bihar,Arwal,5,2429,12,2412
Bihar,Aurangabad,23,5529,16,5490
Bihar,Banka,5,3598,20,3573
Bihar,Begusarai,12,8127,36,8079
Bihar,Bhagalpur,6,9552,80,9466
Bihar,Bhojpur,0,5108,48,5060
Bihar,Buxar,0,4025,20,4005
Bihar,Darbhanga,11,4261,39,4211
Bihar,East Champaran,9,8451,53,8389
Bihar,Gaya,34,8091,60,7997
Bihar,Gopalganj,7,5823,15,5801
Bihar,Jamui,7,3166,10,3149
Bihar,Jehanabad,7,4591,25,4559
Bihar,Kaimur,1,2257,10,2246
Bihar,Katihar,4,7231,12,7215
Bihar,Khagaria,1,3134,14,3119
Bihar,Kishanganj,3,4320,13,4304
Bihar,Lakhisarai,1,3847,9,3837
Bihar,Madhepura,6,4878,17,4855
Bihar,Madhubani,5,7736,34,7697
Bihar,Munger,1,4260,56,4203
Bihar,Muzaffarpur,11,11932,51,11870
Bihar,Nalanda,10,8342,58,8274
Bihar,Nawada,6,4250,25,4219
Bihar,Patna,231,52642,436,51975
Bihar,Purnia,5,9403,25,9373
Bihar,Rohtas,10,6850,45,6795
Bihar,Saharsa,6,6858,12,6840
Bihar,Samastipur,5,5331,35,5291
Bihar,Saran,27,7436,64,7345
Bihar,Sheikhpura,0,2999,13,2986
Bihar,Sheohar,16,1546,1,1529
Bihar,Sitamarhi,4,4464,17,4443
Bihar,Siwan,10,4816,35,4771
Bihar,Supaul,0,5632,19,5613
Bihar,Vaishali,12,5646,49,5584
Bihar,West Champaran,12,6060,23,6025
Chandigarh,Chandigarh,132,21223,345,20746
Chandigarh,Unknown,10,73,2,61
Chhattisgarh,Other State,21,479,63,395
Chhattisgarh,Balod,186,9849,102,9561
Chhattisgarh,Baloda Bazar,109,10048,147,9792
Chhattisgarh,Balrampur,59,3776,15,3702
Chhattisgarh,Bametara,55,5075,59,4961
Chhattisgarh,Bastar,31,9083,87,8965
Chhattisgarh,Bijapur,0,4116,28,4088
Chhattisgarh,Bilaspur,58,21516,217,21241
Chhattisgarh,Dakshin Bastar Dantewada,3,6092,17,6072
Chhattisgarh,Dhamtari,45,8356,131,8180
Chhattisgarh,Durg,816,27337,631,25890
Chhattisgarh,Gariaband,32,4658,56,4570
Chhattisgarh,Janjgir Champa,15,20607,239,20353
Chhattisgarh,Jashpur,33,4019,34,3952
Chhattisgarh,Kabeerdham,10,5966,73,5883
Chhattisgarh,Kondagaon,9,5282,34,5239
Chhattisgarh,Korba,81,17023,126,16816
Chhattisgarh,Koriya,40,5390,37,5313
Chhattisgarh,Mahasamund,43,9461,146,9272
Chhattisgarh,Mungeli,26,4126,28,4072
Chhattisgarh,Narayanpur,3,1967,2,1962
Chhattisgarh,Raigarh,192,24078,317,23569
Chhattisgarh,Raipur,903,54859,799,53157
Chhattisgarh,Rajnandgaon,59,19829,182,19588
Chhattisgarh,Sukma,0,4014,10,4004
Chhattisgarh,Surajpur,65,6493,46,6382
Chhattisgarh,Surguja,84,8256,91,8081
Chhattisgarh,Uttar Bastar Kanker,27,6681,61,6593
Chhattisgarh,Gaurela Pendra Marwahi,4,1498,10,1484
Delhi,Central Delhi,184,184,0,0
Delhi,East Delhi,38,38,0,0
Delhi,New Delhi,37,37,0,0
Delhi,North Delhi,60,60,0,0
Delhi,North East Delhi,25,25,0,0
Delhi,North West Delhi,31,32,1,0
Delhi,Shahdara,48,48,0,0
Delhi,South Delhi,70,70,0,0
Delhi,South East Delhi,130,130,0,0
Delhi,South West Delhi,42,42,0,0
Delhi,West Delhi,122,122,0,0
Delhi,Unknown,291,636527,10893,625343
Dadra and Nagar Haveli and Daman and Diu,Other State,0,0,0,0
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,0,1656,1,1650
Dadra and Nagar Haveli and Daman and Diu,Daman,4,1416,1,1387
Dadra and Nagar Haveli and Daman and Diu,Diu,0,312,0,312
Goa,Other State,9,200,1,190
Goa,North Goa,1639,2668,65,964
Goa,South Goa,1978,3511,126,1407
Goa,Unknown,-3117,47990,594,50513
Gujarat,Other State,0,162,3,159
Gujarat,Ahmedabad,541,61951,2306,59104
Gujarat,Amreli,34,3930,33,3863
Gujarat,Anand,21,2588,17,2550
Gujarat,Aravalli,3,1210,26,1181
Gujarat,Banaskantha,5,4707,39,4663
Gujarat,Bharuch,15,4159,18,4126
Gujarat,Bhavnagar,34,6095,68,5993
Gujarat,Botad,2,1048,14,1032
Gujarat,Chhota Udaipur,6,924,3,915
Gujarat,Dahod,11,3328,7,3310
Gujarat,Dang,0,183,1,182
Gujarat,Devbhumi Dwarka,14,1127,5,1108
Gujarat,Gandhinagar,38,8697,107,8552
Gujarat,Gir Somnath,50,2568,24,2494
Gujarat,Jamnagar,60,10574,35,10479
Gujarat,Junagadh,24,5387,33,5330
Gujarat,Kheda,20,3251,17,3214
Gujarat,Kutch,44,4500,33,4423
Gujarat,Mahisagar,33,2058,10,2015
Gujarat,Mehsana,22,7010,38,6950
Gujarat,Morbi,14,3309,19,3276
Gujarat,Narmada,23,2123,1,2099
Gujarat,Navsari,8,1639,8,1623
Gujarat,Panchmahal,22,4299,22,4255
Gujarat,Patan,3,4243,53,4187
Gujarat,Porbandar,2,730,4,724
Gujarat,Rajkot,158,22913,200,22555
Gujarat,Sabarkantha,29,3041,13,2999
Gujarat,Surat,304,53118,976,51838
Gujarat,Surendranagar,5,3541,13,3523
Gujarat,Tapi,5,1078,7,1066
Gujarat,Vadodara,147,29130,240,28743
Gujarat,Valsad,7,1413,9,1397
Gujarat,Unknown,-1,0,1,0
Himachal Pradesh,Bilaspur,22,2944,24,2897
Himachal Pradesh,Chamba,5,2970,52,2911
Himachal Pradesh,Hamirpur,1,3044,49,2993
Himachal Pradesh,Kangra,89,8339,206,8042
Himachal Pradesh,Kinnaur,7,1376,16,1353
Himachal Pradesh,Kullu,14,4437,83,4338
Himachal Pradesh,Lahaul and Spiti,0,1258,12,1246
Himachal Pradesh,Mandi,53,10255,125,10077
Himachal Pradesh,Shimla,40,10450,266,10140
Himachal Pradesh,Sirmaur,26,3480,31,3423
Himachal Pradesh,Solan,24,6762,73,6665
Himachal Pradesh,Una,73,2981,44,2863
Haryana,Foreign Evacuees,0,0,0,0
Haryana,Ambala,35,11912,144,11733
Haryana,Bhiwani,9,6335,145,6181
Haryana,Charkhi Dadri,6,1519,26,1487
Haryana,Faridabad,57,46397,415,45925
Haryana,Fatehabad,2,4727,119,4606
Haryana,Gurugram,277,58619,356,57986
Haryana,Hisar,10,17119,326,16783
Haryana,Italians,0,0,0,0
