Date,Tested,State_Name
17-Apr-2020,1403,Andaman and Nicobar Islands
24-Apr-2020,2679,Andaman and Nicobar Islands
27-Apr-2020,2848,Andaman and Nicobar Islands
01-May-2020,3754,Andaman and Nicobar Islands
16-May-2020,6677,Andaman and Nicobar Islands
19-May-2020,6965,Andaman and Nicobar Islands
20-May-2020,7082,Andaman and Nicobar Islands
21-May-2020,7167,Andaman and Nicobar Islands
22-May-2020,7263,Andaman and Nicobar Islands
23-May-2020,7327,Andaman and Nicobar Islands
24-May-2020,7327,Andaman and Nicobar Islands
25-May-2020,7363,Andaman and Nicobar Islands
26-May-2020,7448,Andaman and Nicobar Islands
27-May-2020,7499,Andaman and Nicobar Islands
28-May-2020,7519,Andaman and Nicobar Islands
29-May-2020,7567,Andaman and Nicobar Islands
30-May-2020,7567,Andaman and Nicobar Islands
31-May-2020,7706,Andaman and Nicobar Islands
01-Jun-2020,7805,Andaman and Nicobar Islands
02-Jun-2020,8086,Andaman and Nicobar Islands
03-Jun-2020,8295,Andaman and Nicobar Islands
04-Jun-2020,8413,Andaman and Nicobar Islands
05-Jun-2020,8694,Andaman and Nicobar Islands
06-Jun-2020,9037,Andaman and Nicobar Islands
07-Jun-2020,9242,Andaman and Nicobar Islands
08-Jun-2020,9341,Andaman and Nicobar Islands
09-Jun-2020,9859,Andaman and Nicobar Islands
10-Jun-2020,10010,Andaman and Nicobar Islands
11-Jun-2020,10226,Andaman and Nicobar Islands
12-Jun-2020,10697,Andaman and Nicobar Islands
13-Jun-2020,10955,Andaman and Nicobar Islands
14-Jun-2020,11356,Andaman and Nicobar Islands
15-Jun-2020,11518,Andaman and Nicobar Islands
16-Jun-2020,11809,Andaman and Nicobar Islands
17-Jun-2020,12239,Andaman and Nicobar Islands
18-Jun-2020,12622,Andaman and Nicobar Islands
19-Jun-2020,12930,Andaman and Nicobar Islands
20-Jun-2020,13320,Andaman and Nicobar Islands
21-Jun-2020,13434,Andaman and Nicobar Islands
22-Jun-2020,13511,Andaman and Nicobar Islands
23-Jun-2020,13723,Andaman and Nicobar Islands
24-Jun-2020,13994,Andaman and Nicobar Islands
25-Jun-2020,14277,Andaman and Nicobar Islands
26-Jun-2020,14583,Andaman and Nicobar Islands
27-Jun-2020,14851,Andaman and Nicobar Islands
28-Jun-2020,15094,Andaman and Nicobar Islands
29-Jun-2020,15410,Andaman and Nicobar Islands
30-Jun-2020,15709,Andaman and Nicobar Islands
01-Jul-2020,15982,Andaman and Nicobar Islands
02-Jul-2020,16278,Andaman and Nicobar Islands
03-Jul-2020,16626,Andaman and Nicobar Islands
04-Jul-2020,16832,Andaman and Nicobar Islands
05-Jul-2020,16909,Andaman and Nicobar Islands
06-Jul-2020,17095,Andaman and Nicobar Islands
07-Jul-2020,17381,Andaman and Nicobar Islands
08-Jul-2020,17643,Andaman and Nicobar Islands
09-Jul-2020,17852,Andaman and Nicobar Islands
10-Jul-2020,18046,Andaman and Nicobar Islands
11-Jul-2020,18315,Andaman and Nicobar Islands
12-Jul-2020,18447,Andaman and Nicobar Islands
13-Jul-2020,18609,Andaman and Nicobar Islands
14-Jul-2020,18884,Andaman and Nicobar Islands
15-Jul-2020,19061,Andaman and Nicobar Islands
16-Jul-2020,19227,Andaman and Nicobar Islands
17-Jul-2020,19421,Andaman and Nicobar Islands
18-Jul-2020,19671,Andaman and Nicobar Islands
19-Jul-2020,19904,Andaman and Nicobar Islands
20-Jul-2020,20301,Andaman and Nicobar Islands
21-Jul-2020,20642,Andaman and Nicobar Islands
22-Jul-2020,21043,Andaman and Nicobar Islands
23-Jul-2020,21310,Andaman and Nicobar Islands
24-Jul-2020,21743,Andaman and Nicobar Islands
25-Jul-2020,21965,Andaman and Nicobar Islands
26-Jul-2020,22049,Andaman and Nicobar Islands
27-Jul-2020,22548,Andaman and Nicobar Islands
28-Jul-2020,22925,Andaman and Nicobar Islands
29-Jul-2020,23217,Andaman and Nicobar Islands
30-Jul-2020,23615,Andaman and Nicobar Islands
31-Jul-2020,24038,Andaman and Nicobar Islands
01-Aug-2020,24308,Andaman and Nicobar Islands
02-Aug-2020,24580,Andaman and Nicobar Islands
03-Aug-2020,25034,Andaman and Nicobar Islands
04-Aug-2020,25492,Andaman and Nicobar Islands
05-Aug-2020,25826,Andaman and Nicobar Islands
06-Aug-2020,26516,Andaman and Nicobar Islands
07-Aug-2020,26915,Andaman and Nicobar Islands
08-Aug-2020,27073,Andaman and Nicobar Islands
09-Aug-2020,27103,Andaman and Nicobar Islands
10-Aug-2020,27346,Andaman and Nicobar Islands
11-Aug-2020,27455,Andaman and Nicobar Islands
12-Aug-2020,27744,Andaman and Nicobar Islands
13-Aug-2020,27973,Andaman and Nicobar Islands
14-Aug-2020,28129,Andaman and Nicobar Islands
15-Aug-2020,28209,Andaman and Nicobar Islands
16-Aug-2020,28229,Andaman and Nicobar Islands
17-Aug-2020,28672,Andaman and Nicobar Islands
18-Aug-2020,28937,Andaman and Nicobar Islands
19-Aug-2020,29303,Andaman and Nicobar Islands
20-Aug-2020,29487,Andaman and Nicobar Islands
21-Aug-2020,29573,Andaman and Nicobar Islands
22-Aug-2020,29888,Andaman and Nicobar Islands
23-Aug-2020,30278,Andaman and Nicobar Islands
24-Aug-2020,30513,Andaman and Nicobar Islands
25-Aug-2020,31082,Andaman and Nicobar Islands
26-Aug-2020,31646,Andaman and Nicobar Islands
27-Aug-2020,31830,Andaman and Nicobar Islands
28-Aug-2020,32100,Andaman and Nicobar Islands
29-Aug-2020,32407,Andaman and Nicobar Islands
30-Aug-2020,32674,Andaman and Nicobar Islands
31-Aug-2020,33485,Andaman and Nicobar Islands
01-Sep-2020,35104,Andaman and Nicobar Islands
02-Sep-2020,36136,Andaman and Nicobar Islands
03-Sep-2020,37075,Andaman and Nicobar Islands
04-Sep-2020,37825,Andaman and Nicobar Islands
05-Sep-2020,38574,Andaman and Nicobar Islands
06-Sep-2020,39205,Andaman and Nicobar Islands
07-Sep-2020,39995,Andaman and Nicobar Islands
08-Sep-2020,41039,Andaman and Nicobar Islands
09-Sep-2020,41776,Andaman and Nicobar Islands
10-Sep-2020,42792,Andaman and Nicobar Islands
11-Sep-2020,43680,Andaman and Nicobar Islands
12-Sep-2020,44570,Andaman and Nicobar Islands
13-Sep-2020,45279,Andaman and Nicobar Islands
14-Sep-2020,45987,Andaman and Nicobar Islands
15-Sep-2020,46823,Andaman and Nicobar Islands
16-Sep-2020,47794,Andaman and Nicobar Islands
17-Sep-2020,48861,Andaman and Nicobar Islands
18-Sep-2020,50035,Andaman and Nicobar Islands
19-Sep-2020,50681,Andaman and Nicobar Islands
20-Sep-2020,51262,Andaman and Nicobar Islands
21-Sep-2020,52220,Andaman and Nicobar Islands
22-Sep-2020,52845,Andaman and Nicobar Islands
